ticker,era,exec_score,score_profitability,score_health,score_market,score_efficiency
BRC,post_2022,0.21456444488390392,0.03417038299194406,0.16803106509582513,0.43705668746589005,0.2728047684559693
BRC,pre_polk_exit,0.358704049883958,0.9887028153868748,0.514030958600026,1.2902394973238744,-1.2029153640301733
BRC,saligram_era,-0.09843731032488078,0.21410279361497914,-0.07286273832192734,0.14855170017339017,-0.6392581090669016
CAG,post_2022,-0.26733363044282127,0.10312187633368168,0.2578215425200566,-0.8723363827985723,-0.7839731428901769
CAG,pre_polk_exit,0.15362737931790083,0.5065489365371929,-0.18089719287763473,-0.33608661048370936,0.5939065005745396
CAG,saligram_era,-0.10322082643070737,-0.3571138969384766,-0.142236757638916,0.1812548618068481,-0.03008918906313219
CHD,post_2022,-0.09305506109340496,-0.38936795675461205,0.4316741279524721,0.0795881797335027,-0.5645317849487765
CHD,pre_polk_exit,-0.23903585469229902,-0.4725690998368407,-0.4143736686507466,0.7349469686053294,-0.5742834914357231
CHD,saligram_era,0.19185001086777598,0.07964375208931353,0.3937045014122162,0.14393634699407168,0.1001618120918737
CL,post_2022,-0.15794676477543762,0.12319543732676264,-0.3222719396678557,0.054984036730050416,-0.4122433982111266
CL,pre_polk_exit,-0.2070462475332893,0.05386474056585235,-0.1904307151634124,-0.7511873283923641,-0.05258300978902326
CL,saligram_era,-0.002324192500307466,-0.2910093209064482,0.12341769628997237,0.3680995464985257,-0.16086832184156907
CLX,post_2022,0.4021032513782465,0.5681358226064875,0.7615465416805094,-0.1210112107867851,0.22323030151931497
CLX,pre_polk_exit,-0.20934691368234848,-1.3522666139299557,0.2410530687176501,0.7073243830784702,-0.34024422972339435
CLX,saligram_era,0.07919834047899407,-0.0798303134464394,-0.21709823951176815,0.3198733980584905,0.40124284432974505
CPB,post_2022,-0.1904682371736819,-0.10523064565470648,0.21565878954358905,-0.6733111742156207,-0.3767839111198314
CPB,pre_polk_exit,-0.46017667201694157,-1.1399629824137048,-0.6527061025938607,0.19920496030417703,-0.07686035078477044
CPB,saligram_era,0.25479754248615843,0.07665678227038729,0.2539548202915253,0.11889796445905304,0.5426692317571737
GIS,post_2022,-0.014637179370515943,0.1839529071660229,0.13425743522722397,-0.4862167094377993,
GIS,pre_polk_exit,-0.1741044088902568,-0.21620033804124897,-0.49805387315648864,-0.519638385049348,0.5331580583074866
