ticker,date,score_profitability,score_health,score_market,score_efficiency,exec_score
BRC,2017-12-31,,,,,
BRC,2018-01-31,,,,,
BRC,2018-02-28,,,,,
BRC,2018-03-31,,,,,
BRC,2018-04-30,,,,,
BRC,2018-05-31,1.196212651422246,0.5153131177859187,0.8141804834176268,-1.1816096629160775,0.3210807791458431
BRC,2018-06-30,1.5500598005954729,0.8350838890093112,0.6981418833945755,-1.420034576763988,0.4226598493395798
BRC,2018-07-31,0.776870989015552,0.6467601482412881,0.1773877197267487,-1.179780020452177,0.12877833055857996
BRC,2018-08-31,0.07278985245960097,0.5388666510800841,1.4762217485510467,-1.2608100940043152,0.15989928464805603
BRC,2018-09-30,0.22402415025273423,1.4666842793140018,1.923677995740104,-0.259562680287895,0.815856250433431
BRC,2018-10-31,1.3247225288383822,0.9297416287827418,1.7818394720096868,-0.252971440660134,0.9032281550813219
BRC,2018-11-30,1.4082684115892503,-0.04404965403943151,1.9393568852295067,-0.135031346507894,0.692965747104411
BRC,2018-12-31,1.6116815605025325,-0.017938404153146664,1.9175829983313648,-2.234649761117722,0.22239302826653162
BRC,2019-01-31,1.0826519028426012,0.20124726682927552,1.1784629292122484,-1.8082533981926816,0.11466639205371221
BRC,2019-02-28,1.1049890020228956,0.2055088668337225,1.114329674111595,-1.6950754172081957,0.13699699107611074
BRC,2019-03-31,0.523460119714354,0.3771227549165202,1.1714526808381158,-1.804290606220827,0.027219741015960974
BRC,2019-04-30,0.013101312535728918,0.22450479533560141,1.037038233063882,-1.44352080109267,-0.08284578692577838
BRC,2019-05-31,0.3937663060401643,0.11377944400807018,1.1856234895380442,-1.1793273011210117,0.07486828233981807
BRC,2019-06-30,-0.2804618033675022,0.25056259763484384,1.0127093538092398,-1.4801485336611897,-0.16244193420487185
BRC,2019-07-31,-0.21399323285535213,0.2121712949297636,1.127329762744233,-1.1628633405068771,-0.055096802312781634
BRC,2019-08-31,0.15277397886306973,0.11000149427839313,0.27263153157538766,-1.2085244669789443,-0.17641086743037318
BRC,2019-09-30,-0.6376706054416169,-0.21651815372726282,-0.1018182817607433,-0.5257152451731285,-0.3761655651240139
BRC,2019-10-31,-0.4253428977631268,-0.13942449372700896,0.1541317394532483,-0.4002921380325198,-0.21740975917636468
BRC,2019-11-30,-0.7650736366809939,-0.20116523131414396,1.0408802701415762,-0.1173693758514056,-0.07278426849902778
BRC,2019-12-31,-1.5388829181638197,-0.484316642800712,0.3489521608956989,-2.3439649677176324,-1.046216532131437
BRC,2020-01-31,-0.5298798293217342,-0.3873281279900911,0.6546279356023456,-1.8519745204856208,-0.580736438728397
BRC,2020-02-29,0.5042626110727354,-0.09935190715367126,-0.11346813138847561,-1.6226457148400837,-0.33209497436563357
BRC,2020-03-31,0.7513760985257028,-0.16933801333256127,0.9297289755100729,-1.802582111337224,-0.12765711210063413
BRC,2020-04-30,0.40051167544410865,-0.11095181646512493,0.20993784194586254,-1.4706444078419685,-0.25883115964982994
BRC,2020-05-31,0.6369071757547816,-0.6363299282489401,0.638176346618583,-0.9958513043386856,-0.1529997412969414
BRC,2020-06-30,-0.11821310030714323,-0.7773633235735332,-0.04151033763705111,-1.4751118908630216,-0.6398423123920114
BRC,2020-07-31,-0.17463444884774978,-0.6151380853360959,-0.29758095521207756,-1.228120817977491,-0.5947464333495545
BRC,2020-08-31,0.41026784079246886,-0.599970562402916,-0.9815267854579316,-1.4950901844612303,-0.6475021117296516
BRC,2020-09-30,0.08594836414961264,0.559704575598535,-1.3933153776635165,-1.9466506400886705,-0.5759272718379073
BRC,2020-10-31,-0.11145230050653077,0.4507146850521258,-1.7757534469149323,-1.6084508209193402,-0.6499120642238165
BRC,2020-11-30,0.44701137769789323,0.3861895121233346,-1.7844870105602153,-1.2589772326279831,-0.44403201220756516
BRC,2020-12-31,-0.7248788738622199,0.9876736606797166,-1.221896233827662,-1.4227341203841697,-0.48498039712321483
BRC,2021-01-31,-1.0740889055819862,0.7307456018138029,-1.3636296301661146,-1.205974253979576,-0.6235180353794726
BRC,2021-02-28,-1.0445032817192912,0.8932475355144134,-1.4238642159826096,-1.208037924152243,-0.5799338840100814
BRC,2021-03-31,-1.2219033338628307,1.6822606666990882,-1.423134073799856,-0.5928659087226832,-0.23364092539662326
BRC,2021-04-30,-1.4624496927779296,1.3514120692325393,-1.2694673011426834,-0.4702663920693435,-0.3316488606705932
BRC,2021-05-31,-0.9794006348943088,1.166516589364602,-0.7308896922957985,0.2714557349125161,0.026790813354772666
BRC,2021-06-30,-0.2149981411770192,1.8777642129933036,-0.5180842165530661,1.7898139967625464,0.8534163844837597
BRC,2021-07-31,-0.013620480007734451,1.4471932155534457,-0.04481185184006773,1.7783344328416684,0.8663740825065036
BRC,2021-08-31,-0.9992964123454131,1.2589652728748082,0.6199510761231029,1.8409784572156669,0.7121003083046265
BRC,2021-09-30,0.38574050263903387,0.5364924318459863,0.465524215577292,1.48396593126412,0.7214791811450427
BRC,2021-10-31,0.3884592434511842,0.49462932857919756,0.6451269910738943,1.210992935420562,0.6772772415064746
BRC,2021-11-30,1.173593985653618,0.13281457222063434,0.7014358784807291,0.9405352210940388,0.7086638490492503
BRC,2021-12-31,0.5537589760951461,0.19282161312177815,1.0542047064192364,1.6952915149175631,0.8309500479735581
BRC,2022-01-31,0.6351052296358976,0.043949408107098686,0.9355341594017444,1.4129845859465675,0.7123141082080948
BRC,2022-02-28,1.049293372401962,-0.12223273459038612,0.13337200947171346,1.2195708683117144,0.557220641695646
BRC,2022-03-31,1.2986519027370953,-0.8692090866789969,0.5633926367043514,0.4714459890574736,0.29444027428581343
BRC,2022-04-30,1.2832275617830347,-0.7140682949824414,0.8114849562392519,0.3674835615404883,0.36075428358399875
BRC,2022-05-31,1.4851687208014974,-1.608965760284012,1.2960074307141383,0.4692593187172033,0.26511876793729927
BRC,2022-06-30,1.6713609824174218,-1.6960386814452384,1.38338920649261,-1.9792123864228075,-0.30909661413639594
BRC,2022-07-31,1.3827665803470763,-1.4315816014212934,0.6645541579290875,-1.6900518889707097,-0.3733849759964789
BRC,2022-08-31,1.4127354004370085,-1.5778396904993943,0.888726226369557,-1.6507192878661845,-0.35510263373320083
BRC,2022-09-30,1.8161476802206569,-1.853705871013826,0.8937637915512097,-1.5710356069868097,-0.316080984685444
BRC,2022-10-31,1.405401040378319,-1.5163980628908045,0.5042353117549773,-1.353697130122668,-0.3411463789523331
BRC,2022-11-30,1.1734176174112643,-1.314040077196559,0.5641666308386908,-1.3489605645797922,-0.3252644337833615
BRC,2022-12-31,1.2546147048718834,-1.2416616549727995,0.43342702396559796,-2.607346175839014,-0.6239959594405029
BRC,2023-01-31,0.6886321362482094,-1.0637828076332836,-0.03459462550445456,-1.933467764869444,-0.6372626745461847
BRC,2023-02-28,0.5096883227160558,-0.8823873819507094,0.7032201691775777,-1.7185143808315668,-0.42627869527857504
BRC,2023-03-31,0.8210071796449766,-0.930662186121688,0.20939712364845622,-1.8196967835615483,-0.4869916320859581
BRC,2023-04-30,0.9840189197254263,-0.8657268424816347,0.26750491416425687,-1.4869024246861655,-0.3319379461518238
BRC,2023-05-31,0.9960535924150009,-0.6928465586340185,0.7247983913936734,-1.2780108445091278,-0.13338360233500257
BRC,2023-06-30,0.1525885520190929,-0.30913619587295,-0.0781034707109558,-1.2402687424936416,-0.3802816005227133
BRC,2023-07-31,-0.16901143544357858,-0.29466786841699705,-0.16873491110660388,-1.045114241048263,-0.42567876186938025
BRC,2023-08-31,0.0849761790214194,-0.2386310832416061,0.4786274731814899,-0.9409720652241276,-0.1898628018868609
BRC,2023-09-30,0.7923507383061095,0.15888058971163632,0.5740763397009094,0.0073601903946219,0.3624071770288556
BRC,2023-10-31,0.9921408097835133,0.33355900850793957,0.5315012794710983,0.2188922826836724,0.509126231563398
BRC,2023-11-30,-0.20743667993489767,0.36911405193889185,0.6227880887365128,0.8636531290264605,0.3993459456018609
BRC,2023-12-31,-0.10104786940440162,0.24504392998280533,0.21057035091810816,0.890726921779698,0.3130470122722873
BRC,2024-01-31,0.3493902626638317,0.08966125484563421,0.41245618605039747,0.9797174315958288,0.4416665372286849
BRC,2024-02-29,-0.4964160176890955,1.4534830584319824,0.41843519971614535,0.9257684391187032,0.6270700628302257
BRC,2024-03-31,-0.7790496044479625,2.032360231220473,-0.3195050201465081,1.665813188359491,0.7674979613147225
BRC,2024-04-30,-0.34811466250213274,1.6551723018313547,0.3485307081833453,1.386224602848171,0.8257853172725851
BRC,2024-05-31,0.12956365657127847,1.1930652742883059,0.46541297966498635,1.1839736101580915,0.7793864949018315
BRC,2024-06-30,0.4217582986608747,1.0455736300519776,0.5946948776654966,1.7609085078850446,0.9782777661851725
