date,ticker,roe_firm,roe_bench,roe_gap,roic_ce_firm,roic_ce_bench,roic_ce_gap,pretax_noa_firm,pretax_noa_bench,pretax_noa_gap,int_coverage_firm,int_coverage_bench,int_coverage_gap,int_ltdebt_firm,int_ltdebt_bench,int_ltdebt_gap,leverage_firm,leverage_bench,leverage_gap,ev_multiple_firm,ev_multiple_bench,ev_multiple_gap,pb_firm,pb_bench,pb_gap,price_sales_firm,price_sales_bench,price_sales_gap,ccc_firm,ccc_bench,ccc_gap,roe_z,roic_ce_z,pretax_noa_z,int_coverage_z,int_ltdebt_z,leverage_z,ev_multiple_z,pb_z,price_sales_z,ccc_z
2017-12-31,BRC,0.1511268288770666,2.521455945183466,-2.3703291163063995,0.1645807048402365,0.2106769000276196,-0.04609619518738309,0.3970632614846281,0.1264659470758065,0.2705973144088216,28.741747572815537,0.2008896778548284,28.54085789496071,0.0378782461595667,0.1128248797080947,-0.074946633548528,0.1220116773595976,0.0492328255616153,0.0727788517979823,12.552105163558563,20.667432079721195,-8.115326916162632,2.553767409189136,1.0746179495511274,1.4791494596380086,1.6202355162413218,16.422764227642276,-14.802528711400953,75.38877892947517,7.56681404359138,67.82196488588379,,,,,,,,,,
2018-01-31,BRC,0.1511268288770666,2.526324642349963,-2.375197813472896,0.1645807048402365,0.2061129371034624,-0.04153223226322589,0.3970632614846281,0.1204864625351721,0.276576798949456,28.741747572815537,0.2008896778548284,28.54085789496071,0.0378782461595667,0.1128248797080947,-0.074946633548528,0.1220116773595976,0.0489618282039372,0.0730498491556604,12.552105163558563,19.085216917291916,-6.533111753733353,2.5773509094659386,1.0118413579666492,1.5655095514992894,1.635198047522859,16.335329341317365,-14.700131293794506,75.38877892947517,7.103831042906673,68.28494788656849,,,,,,,,,,
2018-02-28,BRC,0.1511268288770666,2.5419599151522023,-2.3908330862751357,0.1645807048402365,0.2138729985929813,-0.0492922937527448,0.3970632614846281,0.120988908238086,0.2760743532465421,28.741747572815537,0.2251960437583933,28.516551529057143,0.0378782461595667,0.1091936391062024,-0.0713153929466357,0.1220116773595976,0.0603318250377073,0.0616798523218903,12.552105163558563,19.12484480627394,-6.572739642715378,2.529890052435935,0.8908435713473983,1.6390464810885368,1.6050865479733838,13.965458723332487,-12.360372175359103,75.38877892947517,6.786871644704733,68.60190728477043,,,,,,,,,,
2018-03-31,BRC,0.1146900638087144,2.5231271230847483,-2.408437059276034,0.1717615317597152,0.2136347295490469,-0.041873197789331684,0.4236829344643656,0.1234054960020475,0.30027743846231814,34.461308037943084,0.2268132735072235,34.23449476443586,0.0461713561251098,0.1091936391062024,-0.06302228298109261,0.0855953924815706,0.060468942821884,0.025126449659686592,12.188420514586245,18.664373499561584,-6.47595298497534,2.446712205996082,0.8934186028700182,1.553293603126064,1.566769553535278,13.534798534798536,-11.96802898126326,77.66823451027989,6.762367861187318,70.90586664909257,,,,,,,,,,
2018-04-30,BRC,0.1146900638087144,2.369050831292201,-2.2543607674834867,0.1717615317597152,0.2136347295490469,-0.041873197789331684,0.4236829344643656,0.1234054960020475,0.30027743846231814,34.461308037943084,0.2268132735072235,34.23449476443586,0.0461713561251098,0.1091936391062024,-0.06302228298109261,0.0855953924815706,0.060468942821884,0.025126449659686592,12.188420514586245,18.0800683784797,-5.891647863893457,2.3973169414166513,0.8827662104269532,1.514550730989698,1.5351389447361667,12.64705882352941,-11.111919878793243,77.66823451027989,6.767298520020561,70.90093599025933,,,,,,,,,,
2018-05-31,BRC,0.1146900638087144,2.423663375418884,-2.3089733116101696,0.1717615317597152,0.1999685109912163,-0.02820697923150109,0.4236829344643656,0.1208694808166057,0.3028134536477599,34.461308037943084,0.227171061911063,34.23413697603202,0.0461713561251098,0.1146900638087144,-0.0685187076836046,0.0855953924815706,0.0561638668018832,0.029431525679687397,12.188420514586245,17.627537100211054,-5.439116585624809,2.5681807935538608,0.9453381784992424,1.6228426150546182,1.6445528270359642,14.12067932067932,-12.476126493643356,77.66823451027989,6.052444376651021,71.61579013362886,0.7279259704178831,1.8446690340705547,1.0160429497783,0.912790862605521,0.1431025654417617,-0.7762510561939969,1.175011115108209,0.9846631930275692,0.2828671421171027,1.1816096629160777
2018-06-30,BRC,0.1156330887087489,2.361289791256209,-2.24565670254746,0.1822839114486294,0.1999685109912163,-0.017684599542586887,0.4385929296730952,0.1208694808166057,0.3177234488564895,42.515035377358494,0.227171061911063,42.28786431544743,0.0500077399951348,0.1156330887087489,-0.0656253487136141,0.0660691038569527,0.0561638668018832,0.009905237055069495,11.495723381947553,17.307110873612842,-5.81138749166529,2.5293079713461775,0.8960374391969159,1.6332705321492615,1.5942054775418213,13.789795197740112,-12.19558972019829,78.90471436053267,6.052444376651021,72.85226998388164,1.3625890870364676,1.8313985498305334,1.4561917649194178,1.8650820218154534,0.6114480227329446,-1.2516176679454247,0.6843563108713703,0.9780559771532934,0.43201336215906283,1.420034576763988
2018-07-31,BRC,0.1156330887087489,2.472473567388026,-2.3568404786792767,0.1822839114486294,0.1999685109912163,-0.017684599542586887,0.4385929296730952,0.1208694808166057,0.3177234488564895,42.515035377358494,0.227171061911063,42.28786431544743,0.0500077399951348,0.1156330887087489,-0.0656253487136141,0.0660691038569527,0.0561638668018832,0.009905237055069495,11.495723381947553,17.80309280252981,-6.307369420582258,2.509624690497613,0.924781266024962,1.584843424472651,1.581799240539344,14.028120882740447,-12.446321642201104,78.90471436053267,6.052444376651021,72.85226998388164,-0.29057780499966507,1.4183986110042701,1.2027921610420513,1.4357591247681294,0.5627468388514355,-1.0672681588071704,0.10683351249241517,0.18693552097820307,0.2383941257096279,1.1797800204521767
2018-08-31,BRC,0.1156330887087489,2.875928692421297,-2.7602956037125477,0.1822839114486294,0.1931376467022793,-0.010853735253649882,0.4385929296730952,0.1181289163888702,0.320464013284225,42.515035377358494,0.2133422919221154,42.301693085436376,0.0500077399951348,0.1156330887087489,-0.0656253487136141,0.0660691038569527,0.0553685136956292,0.010700590161323492,11.495723381947553,16.260077909671253,-4.7643545277237,2.653969167197912,0.9618076435890524,1.6921615236088596,1.672778574813948,12.391534391534393,-10.718755816720444,78.90471436053267,5.396889408362201,73.50782495217047,-2.4649750035810705,1.5276385325071047,1.1557060284527683,1.2162336225266468,0.5243185232857115,-0.924684853999317,1.5601717239283228,1.5719744205771582,1.2965191011476587,1.2608100940043152
2018-09-30,BRC,0.1240575792832289,2.7259836814447738,-2.6019261021615447,0.1835878444830011,0.1913255910847064,-0.0077377466017052865,0.4247169605609718,0.1171802646435685,0.3075366959174033,46.72664141414141,0.2118650094853777,46.51477640465603,0.0403171411481731,0.1175000248671632,-0.0771828837189901,0.0497837607185331,0.0552075910437685,-0.005423830325235406,11.754156290352332,14.82058007639912,-3.066423786046787,2.780372973944012,0.8666440964643876,1.9137288774796244,1.80635148753973,12.391666666666666,-10.585315179126935,76.60109047863489,5.202155780075187,71.3989346985597,-1.225884978568081,1.4374129926230232,0.46054443670326045,1.5408890288196435,-1.5592195725676994,-1.2999442365546618,2.1370301668399274,2.4299892148663274,1.2040146055140573,0.259562680287895
