date,ticker,industry_return,peg,cape,ev_multiple,price_op,price_sales,pb,roe,roic,op_margin,pretax_ea,pretax_noa,roic_ce,int_ltdebt,leverage,int_coverage,ccc,industry
2017-12-31,DURBL,-0.014015026450162777,-0.006241459681953871,0.4467462269808988,20.667432079721195,9.623146855131699,16.422764227642276,1.0746179495511274,2.521455945183466,0.12231911968353078,0.0884662237867364,0.06873175783824499,0.1264659470758065,0.21067690002761966,0.1128248797080947,0.04923282556161537,0.20088967785482847,7.56681404359138,DUR
2018-01-31,DURBL,-0.005207956676088773,0.026420489652252844,0.4177443518579578,19.085216917291916,9.764484110116829,16.335329341317365,1.0118413579666492,2.526324642349963,0.12231911968353078,0.08932457814807772,0.06873175783824499,0.1204864625351721,0.2061129371034624,0.1128248797080947,0.048961828203937255,0.20088967785482847,7.103831042906673,DUR
2018-02-28,DURBL,-0.06618726175622128,-0.06021683992776587,0.3927563660083648,19.12484480627394,9.636913548946657,13.965458723332489,0.8908435713473983,2.5419599151522023,0.10653114353031495,0.08765803048717709,0.0715140603969303,0.12098890823808602,0.21387299859298137,0.1091936391062024,0.06033182503770739,0.2251960437583933,6.786871644704733,DUR
2018-03-31,DURBL,-0.011742203066768568,-0.05591060399384582,0.41169085327398897,18.664373499561584,9.552897209804222,13.534798534798536,0.8934186028700182,2.5231271230847483,0.11075813959519211,0.08435778686604192,0.07163442725244043,0.1234054960020475,0.21363472954904691,0.1091936391062024,0.060468942821884,0.22681327350722352,6.762367861187318,DUR
2018-04-30,DURBL,-0.035301951419872545,-0.0030086462564309943,0.393786110727054,18.0800683784797,9.552897209804222,12.64705882352941,0.8827662104269532,2.369050831292201,0.11075813959519211,0.08435778686604192,0.07139369354142017,0.1234054960020475,0.21363472954904691,0.1091936391062024,0.060468942821884,0.22681327350722352,6.767298520020561,DUR
2018-05-31,DURBL,0.09214435035599829,0.030359335129465728,0.35680527472016654,17.627537100211054,9.332293562692465,14.12067932067932,0.9453381784992425,2.423663375418884,0.12014616280313672,0.08312986094744285,0.07179579653708285,0.12086948081660573,0.19996851099121635,0.11469006380871444,0.05616386680188323,0.227171061911063,6.052444376651021,DUR
2018-06-30,DURBL,0.014767148360815122,0.009334965242700397,0.35258166830908744,17.307110873612842,9.347931814185529,13.789795197740112,0.8960374391969159,2.361289791256209,0.12014616280313672,0.08312986094744285,0.0731643751013034,0.12086948081660573,0.19996851099121635,0.11563308870874892,0.05616386680188323,0.227171061911063,6.052444376651021,DUR
2018-07-31,DURBL,0.01624371140635395,-0.01137435315319293,0.36388213190136137,17.80309280252981,9.347931814185529,14.028120882740447,0.9247812660249619,2.4724735673880254,0.12014616280313672,0.08312986094744285,0.0731643751013034,0.12086948081660573,0.19996851099121635,0.11563308870874892,0.05616386680188323,0.227171061911063,6.052444376651021,DUR
2018-08-31,DURBL,0.037670845505507554,-0.004109008053992985,0.4466551017989851,16.260077909671253,9.295214050520263,12.391534391534393,0.9618076435890525,2.875928692421297,0.11886297275605519,0.0869846538999329,0.07304530993821866,0.11812891638887021,0.1931376467022793,0.11563308870874892,0.055368513695629236,0.21334229192211543,5.396889408362201,DUR
2018-09-30,DURBL,-0.03367333183522596,-0.035290893957166426,0.4055814305964644,14.820580076399121,9.314093334978597,12.391666666666666,0.8666440964643876,2.7259836814447738,0.11915988440711063,0.0866321902389076,0.07366461279095383,0.11718026464356851,0.1913255910847064,0.11750002486716324,0.055207591043768524,0.21186500948537776,5.202155780075187,DUR
